index,country,obseity_prevalence_rate,year
176,Afghanistan,5.5,2016
177,Niger,5.5,2016
178,Burundi,5.4,2016
179,Laos,5.3,2016
180,Madagascar,5.3,2016
181,Uganda,5.3,2016
182,Sri Lanka,5.2,2016
183,Eritrea,5,2016
184,"Korea, South",4.7,2016
185,Ethiopia,4.5,2016
186,Japan,4.3,2016
187,Nepal,4.1,2016
188,Cambodia,3.9,2016
189,India,3.9,2016
190,Timor-Leste,3.8,2016
191,Bangladesh,3.6,2016
192,Vietnam,2.1,2016
